DATE,NYXRSA
2000-01-01,100.33923010597601
2000-02-01,101.24065671155898
2000-03-01,102.060631142593
2000-04-01,103.132503328939
2000-05-01,104.91586849249799
2000-06-01,106.064699294509
2000-07-01,107.02029110829399
2000-08-01,108.02474990321501
2000-09-01,108.82551026113
2000-10-01,109.78600375408399
2000-11-01,110.63668456033301
2000-12-01,111.839543898938
2001-01-01,112.936258775247
2001-02-01,114.25195250074499
2001-03-01,115.314223624054
2001-04-01,116.36496588030799
2001-05-01,116.97820804332
2001-06-01,118.075067788394
2001-07-01,119.223207418619
2001-08-01,120.58636855803499
2001-09-01,121.98300381495501
2001-10-01,123.09491541294202
2001-11-01,124.404439547274
2001-12-01,124.575337228647
2002-01-01,125.37991572496401
2002-02-01,126.097711176003
2002-03-01,127.320636658053
2002-04-01,128.693015984646
2002-05-01,130.484807650999
2002-06-01,132.495631716528
2002-07-01,134.854409920188
2002-08-01,137.003350162093
2002-09-01,138.826656934076
2002-10-01,140.80175203259301
2002-11-01,142.843488664755
2002-12-01,144.913606479316
2003-01-01,146.638992704265
2003-02-01,147.93710254735
2003-03-01,149.21631719484301
2003-04-01,150.339887999451
2003-05-01,151.491932579853
2003-06-01,152.247024572634
2003-07-01,153.28968354256398
2003-08-01,154.48674088946998
2003-09-01,156.363151804804
2003-10-01,157.976732508825
2003-11-01,160.016235426423
2003-12-01,161.894459367427
2004-01-01,163.642815694419
2004-02-01,165.45028865205902
2004-03-01,167.47982657166
2004-04-01,169.142310093574
2004-05-01,171.144164377713
2004-06-01,173.34739762336002
2004-07-01,175.648203086171
2004-08-01,177.283474654044
2004-09-01,179.12237482340802
2004-10-01,181.124952052044
2004-11-01,182.928591680588
2004-12-01,184.599164753404
2005-01-01,187.172013074063
2005-02-01,189.79226983721
2005-03-01,193.188499859124
2005-04-01,195.170620420496
2005-05-01,196.732263010084
2005-06-01,198.197132545116
2005-07-01,199.81103485264802
2005-08-01,201.49880557487998
2005-09-01,204.07556773887
2005-10-01,206.679289748329
2005-11-01,209.321211141428
2005-12-01,212.052225703493
2006-01-01,213.50447018341498
2006-02-01,215.05367418276
2006-03-01,215.71969098977902
2006-04-01,216.450716878707
2006-05-01,216.617859145885
2006-06-01,216.194271560971
2006-07-01,215.04961798691602
2006-08-01,213.095715135991
2006-09-01,213.026708120667
2006-10-01,213.027313493853
2006-11-01,213.158886733856
2006-12-01,213.25238448835398
2007-01-01,212.90914166684502
2007-02-01,213.310927855765
2007-03-01,214.248923505281
2007-04-01,213.628533773821
2007-05-01,211.874965168077
2007-06-01,209.70681891539
2007-07-01,207.774382748906
2007-08-01,205.371488920879
2007-09-01,204.86656844784198
2007-10-01,203.95817359117
2007-11-01,203.295010114243
2007-12-01,201.718437179818
2008-01-01,200.803356982204
2008-02-01,199.440763511254
2008-03-01,198.826968252736
2008-04-01,197.175243561391
2008-05-01,195.838897885202
2008-06-01,194.838492408998
2008-07-01,192.564234302757
2008-08-01,191.069847789697
2008-09-01,189.65632740396998
2008-10-01,187.808327454427
2008-11-01,185.50592197823897
2008-12-01,183.31454688208697
2009-01-01,181.570018318897
2009-02-01,179.337738724031
2009-03-01,176.188607344995
2009-04-01,173.396423306581
2009-05-01,172.861796851099
2009-06-01,172.248826216826
2009-07-01,172.293991429632
2009-08-01,172.31518818889901
2009-09-01,172.42526417049197
2009-10-01,172.3833596982
2009-11-01,171.769337397534
2009-12-01,171.96756786304402
2010-01-01,172.359318518348
2010-02-01,172.440468166829
2010-03-01,172.26304698199
2010-04-01,171.97289058278702
2010-05-01,172.285880612703
2010-06-01,172.554728189282
2010-07-01,172.832665367099
2010-08-01,171.860458284306
2010-09-01,171.602405483415
2010-10-01,169.288696578533
2010-11-01,168.781088967179
2010-12-01,168.306345527896
2011-01-01,167.190543813635
2011-02-01,166.610252574576
2011-03-01,165.505591822186
2011-04-01,167.13022394976002
2011-05-01,166.836081950512
2011-06-01,166.286389623022
2011-07-01,167.045333115334
2011-08-01,166.69281161050898
2011-09-01,166.948856985301
2011-10-01,165.141551780263
2011-11-01,164.313099335171
2011-12-01,162.986995076383
2012-01-01,162.105617715423
2012-02-01,161.131468094306
2012-03-01,160.52976200718
2012-04-01,160.992428731857
2012-05-01,161.722370126294
2012-06-01,162.563359649615
2012-07-01,162.597246343074
2012-08-01,162.950806344021
2012-09-01,163.349930685118
2012-10-01,163.116244903698
2012-11-01,162.498651192198
2012-12-01,162.705473330454
2013-01-01,162.794000049843
2013-02-01,163.768440539717
2013-03-01,163.263614432959
2013-04-01,164.813878025798
2013-05-01,166.020663442619
2013-06-01,167.085498138178
2013-07-01,167.918605415038
2013-08-01,168.945386241008
2013-09-01,170.355705218167
2013-10-01,171.398282049414
2013-11-01,172.495083853848
2013-12-01,172.82232574947898
2014-01-01,173.54706507324298
2014-02-01,173.5460917347
2014-03-01,173.425191330412
2014-04-01,173.315679244243
2014-05-01,173.484142709095
2014-06-01,174.186132617369
2014-07-01,174.699433862233
2014-08-01,174.878582398468
2014-09-01,174.86383751512298
2014-10-01,174.783912052955
2014-11-01,174.658483321439
2014-12-01,175.55972641306198
2015-01-01,176.139792928443
2015-02-01,176.761198912914
2015-03-01,176.672316578509
2015-04-01,177.655498050983
2015-05-01,178.235180847123
2015-06-01,178.684561479508
2015-07-01,178.868777584992
2015-08-01,179.145078267971
2015-09-01,179.368568075481
2015-10-01,179.642658027907
2015-11-01,180.328675187541
2015-12-01,180.454374851607
2016-01-01,180.480988260796
2016-02-01,180.543295968461
2016-03-01,181.238810963862
2016-04-01,182.06707701212298
2016-05-01,182.23937843401902
2016-06-01,182.861609808627
2016-07-01,183.339686162383
2016-08-01,183.739563603829
2016-09-01,183.798291962794
2016-10-01,183.73930405478401
2016-11-01,185.002021376209
2016-12-01,185.71143556489102
2017-01-01,186.996816448016
2017-02-01,187.13073200854697
2017-03-01,188.558202346157
2017-04-01,189.465394615622
2017-05-01,189.964036571708
2017-06-01,190.210526233111
2017-07-01,191.015352180492
2017-08-01,192.114095478263
2017-09-01,193.47483018998
2017-10-01,194.352518492331
2017-11-01,195.171949740827
2017-12-01,195.672590651312
2018-01-01,196.47235721809201
2018-02-01,197.460629372537
2018-03-01,197.819134611314
2018-04-01,197.649428353293
2018-05-01,197.939331336175
2018-06-01,198.321181912019
2018-07-01,198.382621113325
2018-08-01,198.83393673650698
2018-09-01,199.42335701925097
2018-10-01,199.978241278717
2018-11-01,200.51086314990602
2018-12-01,200.987154517439
2019-01-01,201.32002160111801
2019-02-01,201.10087078072
2019-03-01,200.752076907261
2019-04-01,201.04141559788502
2019-05-01,201.237243673629
2019-06-01,201.173528609603
2019-07-01,200.844513004185
2019-08-01,201.067132893225
2019-09-01,201.376467318886
2019-10-01,201.88636733400003
2019-11-01,202.059189331964
2019-12-01,202.75060080470502
2020-01-01,203.04648639273103
2020-02-01,203.84185612872798
2020-03-01,204.38484476062303
2020-04-01,205.061474856399
2020-05-01,204.876357233301
2020-06-01,204.97610200331502
2020-07-01,205.54641153471198
2020-08-01,208.22283824595903
2020-09-01,211.467048920882
2020-10-01,215.434660484677
2020-11-01,219.957576756148
2020-12-01,223.391229689554
2021-01-01,226.41802159069
2021-02-01,227.788549247243
2021-03-01,229.48501043420399
