DATE,SFCPOP
2000-01-01,4136.658
2001-01-01,4179.628
2002-01-01,4165.678
2003-01-01,4153.143
2004-01-01,4143.522
2005-01-01,4149.607
2006-01-01,4162.783
2007-01-01,4202.186
2008-01-01,4260.236
2009-01-01,4317.853
2010-01-01,4343.886
2011-01-01,4396.273
2012-01-01,4455.918
2013-01-01,4520.028
2014-01-01,4585.277
2015-01-01,4648.164
2016-01-01,4688.017
2017-01-01,4711.551
2018-01-01,4725.613
2019-01-01,4724.016
2020-01-01,4696.902
