DATE,BOXRSA
2016-04-01,187.015153836128
2016-05-01,188.215266075411
2016-06-01,188.24476969348098
2016-07-01,188.799531703577
2016-08-01,189.620784873326
2016-09-01,190.53366833939302
2016-10-01,191.87694579219502
2016-11-01,193.693490606869
2016-12-01,195.666322711925
2017-01-01,197.25557377585
2017-02-01,198.783021302935
2017-03-01,199.724608177094
2017-04-01,199.235106148951
2017-05-01,199.4514625244
2017-06-01,200.11250549332698
2017-07-01,202.045842530209
2017-08-01,203.09825031064997
2017-09-01,204.55174904343602
2017-10-01,205.096546272159
2017-11-01,205.49820416601798
2017-12-01,206.233188718482
2018-01-01,207.68172792968102
2018-02-01,210.29859946981497
2018-03-01,210.528608476087
2018-04-01,212.47167107719798
2018-05-01,213.083602776898
2018-06-01,213.86141251416697
2018-07-01,213.992509889792
